Cost_date,Product_id,Data_Measure_id,Amount
3/1/20,ACN,10," $1,481.91 "
3/1/20,ACN,11," $3,548.17 "
3/1/20,ACN,12, $851.56 
3/1/20,ACN,13," $5,881.64 "
3/1/20,ACN,14,
3/1/20,ADHOC,10,
3/1/20,ADHOC,11," $4,246.81 "
3/1/20,ADHOC,12,
3/1/20,ADHOC,13," $4,246.81 "
3/1/20,ADHOC,14,
3/1/20,CPA COMPLIANCE,10," $1,481.91 "
3/1/20,CPA COMPLIANCE,11," $3,548.17 "
3/1/20,CPA COMPLIANCE,12, $851.56 
3/1/20,CPA COMPLIANCE,13," $5,881.64 "
3/1/20,CPA COMPLIANCE,14,
3/1/20,COMMON,10,
3/1/20,COMMON,11,
3/1/20,COMMON,12,
3/1/20,COMMON,13,
3/1/20,COMMON,14,
3/1/20,DATA SCIENCE,10, $169.41 
3/1/20,DATA SCIENCE,11, $1.47 
3/1/20,DATA SCIENCE,12, $61.63 
3/1/20,DATA SCIENCE,13, $232.51 
3/1/20,DATA SCIENCE,14,
3/1/20,DRIVER SCORE,10," $3,006.60 "
3/1/20,DRIVER SCORE,11,
3/1/20,DRIVER SCORE,12," $1,003.24 "
3/1/20,DRIVER SCORE,13," $4,009.84 "
3/1/20,DRIVER SCORE,14,
3/1/20,DRIVERSCORE-B2B,10,
3/1/20,DRIVERSCORE-B2B,11,
3/1/20,DRIVERSCORE-B2B,12, $2.30 
3/1/20,DRIVERSCORE-B2B,13, $2.30 
3/1/20,DRIVERSCORE-B2B,14,
3/1/20,ENS,10, $902.81 
3/1/20,ENS,11,
3/1/20,ENS,12, $739.60 
3/1/20,ENS,13," $1,642.41 "
3/1/20,ENS,14,
3/1/20,INGEST,10," $131,626.83 "
3/1/20,INGEST,11,
3/1/20,INGEST,12," $19,398.34 "
3/1/20,INGEST,13," $151,025.17 "
3/1/20,INGEST,14,
3/1/20,LANEID,10, $15.87 
3/1/20,LANEID,11,
3/1/20,LANEID,12, $133.92 
3/1/20,LANEID,13, $149.80 
3/1/20,LANEID,14,
3/1/20,MARKETPLACE,10, $856.24 
3/1/20,MARKETPLACE,11,
3/1/20,MARKETPLACE,12," $1,976.47 "
3/1/20,MARKETPLACE,13," $2,832.72 "
3/1/20,MARKETPLACE,14,
